Date,Sales
2023-04-14,1734
2023-04-15,2019
2023-04-16,2098
2023-04-17,2543
2023-04-18,2443
2023-04-19,2492
2023-04-20,2008
2023-04-21,1890
2023-04-22,2013
2023-04-23,2309
2023-04-24,2456
2023-04-25,2292
2023-04-26,2324
2023-04-27,2081
2023-04-28,1888
2023-04-29,1914
2023-04-30,2407
2023-05-01,2356
2023-05-02,2353
2023-05-03,2393
2023-05-04,2108
2023-05-05,1945
2023-05-06,2100
2023-05-07,2270
2023-05-08,2460
2023-05-09,2585
2023-05-10,2364
2023-05-11,2032
2023-05-12,1924
2023-05-13,1957
2023-05-14,2250
2023-05-15,2300
2023-05-16,2262
2023-05-17,2353
2023-05-18,1959
2023-05-19,1746
2023-05-20,2077
2023-05-21,2152
2023-05-22,2502
2023-05-23,2430
2023-05-24,2220
2023-05-25,1982
2023-05-26,1930
2023-05-27,2011
2023-05-28,2150
2023-05-29,2420
2023-05-30,2321
2023-05-31,2368
2023-06-01,1927
2023-06-02,1980
2023-06-03,2138
2023-06-04,2391
2023-06-05,2670
2023-06-06,2329
2023-06-07,2468
2023-06-08,2297
2023-06-09,2131
2023-06-10,1954
2023-06-11,2319
2023-06-12,2698
2023-06-13,2347
2023-06-14,2444
2023-06-15,2296
2023-06-16,1940
2023-06-17,2145
2023-06-18,2151
2023-06-19,2387
2023-06-20,2438
2023-06-21,2420
2023-06-22,2162
2023-06-23,2148
2023-06-24,1972
2023-06-25,2274
2023-06-26,2610
2023-06-27,2613
2023-06-28,2248
2023-06-29,2262
2023-06-30,1986
2023-07-01,2141
2023-07-02,2335
2023-07-03,2650
2023-07-04,2570
2023-07-05,2194
2023-07-06,2028
2023-07-07,2140
2023-07-08,2073
2023-07-09,2445
2023-07-10,2546
2023-07-11,2475
2023-07-12,2556
2023-07-13,2105
2023-07-14,1816
2023-07-15,2362
2023-07-16,2089
2023-07-17,2600
2023-07-18,2688
2023-07-19,2453
2023-07-20,2010
2023-07-21,2194
2023-07-22,1951
2023-07-23,2168
2023-07-24,2490
2023-07-25,2680
2023-07-26,2482
2023-07-27,2319
2023-07-28,2029
2023-07-29,2114
2023-07-30,2203
2023-07-31,2506
2023-08-01,2667
2023-08-02,2421
2023-08-03,2290
2023-08-04,2025
2023-08-05,2074
2023-08-06,2355
2023-08-07,2532
2023-08-08,2678
2023-08-09,2489
2023-08-10,2453
2023-08-11,2079
2023-08-12,2130
2023-08-13,2237
2023-08-14,2570
2023-08-15,2701
2023-08-16,2391
2023-08-17,2250
2023-08-18,2204
2023-08-19,2154
2023-08-20,2312
2023-08-21,2696
2023-08-22,2643
2023-08-23,2540
2023-08-24,2410
2023-08-25,2268
2023-08-26,2141
2023-08-27,2325
2023-08-28,2627
2023-08-29,2629
2023-08-30,2279
2023-08-31,2436
2023-09-01,2147
2023-09-02,2285
2023-09-03,2261
2023-09-04,2762
2023-09-05,2589
2023-09-06,2508
2023-09-07,2130
2023-09-08,2139
2023-09-09,2184
2023-09-10,2395
2023-09-11,2676
2023-09-12,2683
2023-09-13,2654
2023-09-14,2258
2023-09-15,2056
2023-09-16,2226
2023-09-17,2509
2023-09-18,2789
2023-09-19,2790
2023-09-20,2342
2023-09-21,2376
2023-09-22,2368
2023-09-23,2253
2023-09-24,2389
2023-09-25,2694
2023-09-26,2650
2023-09-27,2649
2023-09-28,2347
2023-09-29,2378
2023-09-30,2324
2023-10-01,2383
2023-10-02,2749
2023-10-03,2841
2023-10-04,2523
2023-10-05,2317
2023-10-06,1954
2023-10-07,2392
2023-10-08,2419
2023-10-09,2441
2023-10-10,2537
2023-10-11,2585
2023-10-12,2480
2023-10-13,2241
2023-10-14,2361
2023-10-15,2379
2023-10-16,2556
2023-10-17,2877
2023-10-18,2692
2023-10-19,2407
2023-10-20,2427
2023-10-21,2212
2023-10-22,2483
2023-10-23,2863
2023-10-24,3014
2023-10-25,2657
2023-10-26,2635
2023-10-27,2224
2023-10-28,2389
2023-10-29,2535
2023-10-30,2572
2023-10-31,2847
2023-11-01,2791
2023-11-02,2439
2023-11-03,2311
2023-11-04,2541
2023-11-05,2430
2023-11-06,2608
2023-11-07,2763
2023-11-08,2560
2023-11-09,2643
2023-11-10,2382
2023-11-11,2295
2023-11-12,2532
2023-11-13,3156
2023-11-14,2793
2023-11-15,2638
2023-11-16,2544
2023-11-17,2447
2023-11-18,2451
2023-11-19,2523
2023-11-20,2700
2023-11-21,2964
2023-11-22,2749
2023-11-23,2337
2023-11-24,2538
2023-11-25,2544
2023-11-26,2630
2023-11-27,2834
2023-11-28,2948
2023-11-29,2701
2023-11-30,2400
2023-12-01,2463
2023-12-02,2306
2023-12-03,2733
2023-12-04,2720
2023-12-05,2936
2023-12-06,2794
2023-12-07,2803
2023-12-08,2325
2023-12-09,2337
2023-12-10,2636
2023-12-11,2786
2023-12-12,2905
2023-12-13,2889
2023-12-14,2710
2023-12-15,2680
2023-12-16,2447
2023-12-17,3059
2023-12-18,3188
2023-12-19,2980
2023-12-20,2593
2023-12-21,2636
2023-12-22,2518
2023-12-23,2288
2023-12-24,2780
2023-12-25,2955
2023-12-26,2939
2023-12-27,2972
2023-12-28,2795
2023-12-29,2480
2023-12-30,2620
2023-12-31,2721
